,博物館,Museum,縣市,city/country,Address,x,y,tourist arrivals,keyword(n),sentimental
1,國立海洋生物博物館,"
National Museum of Marine Biology & Aquarium",屏東縣,"
Pingtung County",屏東縣車城鄉後灣路2號,120.702465959220,22.046234995148,978032 ,海洋 海底生物 海底隧道 夜宿 珊瑚 生態 水族 小孩 教育 森林,0.433
2,臺灣客家文化館,"
Taiwan HAKKA Museum",苗栗縣,"
Miaoli County",苗栗縣銅鑼鄉銅科南路6號,120.758189019169,24.457395013635,603968 ,客家 文化 活動 公園 免費 火車 觀光 體驗 茶文化 推車,0.421
3,六堆客家文化園區,"
Liudui Hakka Cultural Park",屏東縣,"
Pingtung County",屏東縣內埔鄉信義路588號,120.566162970181,22.667657981006,713713 ,客家 文化 活動 報名 粄 聚落 自然 體驗 藝術 演出 ,0.402
4,國立故宮博物院,"
National Palace Museum",臺北市,"
Taipei City",台北市士林區至善路二段221號,121.548568961000,25.099962984724,1552190 ,唐伯虎 故事 孔明 歷史 免費 資料 文物 書 雪山 作品,0.431
5,臺北市立美術館,"
Taipei Fine Arts Museum",臺北市,"
Taipei City",台北市中山區中山北路三段181號,121.524738036806,25.072279989287,603499 ,免費 資訊 政府 公車 藝術 展覽 大法官 文化 地板 電影,0.39
6,國立歷史博物館,"
National Museum of History",臺北市,"
Taipei City",台北市中正區南海路49號,121.511238311190,25.031244202997,1405512 ,玉山 日本 收藏 文化 免費 造像 作品 森林 畢卡索 遊樂區,0.44
7,國立臺灣科學教育館,"
National Taiwan Science Education Center",臺北市,"
Taipei City",台北市士林區士商路189號,121.515978025978,25.095985981215,2467537 ,免費 教育 TOMICA 活動 科學 世界 森林 汽車 實驗 研究,0.446
8,臺北市立天文科學教育館,"
Taipei Astronomical Museum",臺北市,"
Taipei City",台北市士林區基河路363號,121.518346165083,25.095783390615,1098409 ,天文 流星雨 免費 教育 地球 公園 劇場 展示 宇宙 撞擊 ,0.432
9,國立國父紀念館,"
National Dr. Sun Yat-sen Memorial Hall",臺北市,"
Taipei City",台北市信義區仁愛路四段505號,121.560257022064,25.039513998218,8598830 ,演員 導演 劇場 文化 編劇 演出 廣播 演藝廳 藝術 教育,0.439
10,國立中正紀念堂,"
National Chiang Kai-shek Memorial Hall",臺北市,"
Taipei City",台北市中正區中山南路21號,121.517716013602,25.036635987943,3202377 ,活動 登山 轉型 改名 兩廳 立法院 廣場 總統 文化 山岳,0.39
11,台北探索館,"
Discovery Center of Taipei",臺北市,"
Taipei City",台北市信義區市府路1號,121.563783959282,25.037524008675,233700 ,小孩 探索 高鐵 公園 免費 商圈 男友 夜市 學生 文化,0.441
12,新北市坪林茶業博物館,"
Pinglin Tea Museum of New Taipei City",新北市,"
New Taipei City",新北市坪林區水德里水聳淒坑19-1號,121.711692700000,24.936175600000,241654 ,公園 茶 免費 重生 老街 餐廳 文化 網路 巢穴 茶業 ,0.483
13,新北市立鶯歌陶瓷博物館,"
New Taipei City Yingge Ceramics Museum",新北市,"
New Taipei City",新北市鶯歌區文化路200號,121.352214413393,24.949328198540,4629192 ,公園 重生 巢穴 運動 腕力 蛇 河濱 陶瓷 犀牛 龍,0.65
14,新北市立十三行博物館,"
New Taipei City Shihsanhang Museum of Archaeology",新北市,"
New Taipei City",新北市八里區博物館路200號,121.405003974868,25.157036997917,580723 ,公園 巢穴 演出 演員 文化 導演 劇場 編劇 運動 演藝廳,0.577
15,新北市立黃金博物館,"
New Taipei City Government Gold Museum",新北市,"
New Taipei City",新北市瑞芳區金光路8號,121.856152034298,25.108223015027,984554 ,謎題 故事 場景 華山 演員 放映 劇情 導演 密室 劇場,0.427
16,新北市客家文化園區,"
New Taipei City Hakka Museum",新北市,"
New Taipei City",新北市三峽區隆恩街239號,121.359823421277,24.941709300010,602453 ,公園 文化 重生 劇場 客家 森林 演員 河濱 腕力 演藝廳,0.622
17,國立海洋科技博物館,"
National Museum of Marine Science & Technology",基隆市,"
Keelung City",基隆市中正區北寧路367號,121.798851835448,25.140197586799,2726173 ,海洋 潮境 IMAX 科技 公園 銀幕 智能 雷射 免費 影廳 ,0.425
18,陽明海洋文化藝術館,"
Yangming Oceanic Culture and Art Museum",基隆市,"
Keelung City",基隆市仁愛區港西街4號,121.740169963678,25.132621980800,21137 ,演員 導演 文化 公園 編劇 劇場 藝術 表演 海洋 三明治,0.434
19,木雕博物館,"
Miaoli Woodsculpture Museum",苗栗縣,"
Miaoli County",苗栗縣三義鄉廣盛村廣聲新城88號,120.770221900000,24.412798700000,60320 ,木雕 文化 建築 特色 客家 勝興 森林 設計 草莓 遊樂區,0.408
20,國立自然科學博物館,"
National Museum of Natural Science",臺中市,"
Taichung City",台中市北區館前路1號,120.666160080892,24.155801480709,2738348 ,研究 自然 展示 免費 活動 化石 登山 特展 科學 世界 ,0.446
21,國立臺灣美術館,"
National Taiwan Museum of Fine Arts",臺中市,"
Taichung City",台中市西區五權西路一段2號,120.662980270486,24.140208482703,567258 ,作品 藝術 文化 重生 免費 光影 研究 藝術家 法官 歷史,0.572
22,國立臺灣歷史博物館,"
National Museum of Taiwan History",臺南市,"
Tainan City",台南市安南區長和路一段250號,120.235147029271,23.058019011774,579619 ,公園 歷史 文化 重生 活動 生活 日本 AI 自由 展覽,0.587
23,國立科學工藝博物館,"
National Science and Technology Museum",高雄市,"
Kaohsiung City",高雄市三民區九如一路720號,120.323422970401,22.639801019169,2026078 ,科學 展示 工藝 日本 優惠 研究 教育 活動 世界 保存,0.395
24,高雄市立美術館,"
Kaoshiung Museum of Fine Arts",高雄市,"
Kaohsiung City",高雄市鼓山區美術館路80號,120.286741508077,22.654986283964,1853119 ,文化 免費 活動 藝術 輕軌 展覽 展出 市民 特展 露營,0.415
25,高雄市立歷史博物館,"
Kaohsiung Museum of History",高雄市,"
Kaohsiung City",高雄市鹽埕區中正四路272號,120.286839986354,22.626772985154,338983 ,歷史 屠殺 證據 蛋餅 國民黨 志工 展覽 基金 二二八 活動,0.446
26,國立臺灣史前文化博物館,"
National Museum of Prehistory",臺東縣,"
Taitung County",台東縣台東市博物館路1號,121.091572009535,22.759086020644,162058 ,文化 史前 遺址 免費 歷史 研究 卑南 特展  人類 民族,0.434
27,卑南遺址公園,"
Peinan Site Park",臺東縣,"
Taitung County",台東縣台東市文化公園路200號,121.116020009441,22.792262012508,311385 ,文化 遺址 史前 考古 公園 市區 免費 展示 人類 石柱,0.46
28,莒光樓,"
Juguang Tower",金門縣,"
Kinmen County",金門縣金城鎮賢城路1號,118.318003632199,24.425521388264,252358 ,坑道 金城 水頭 貢糖 聚落 翟山 老街 公園 碼頭 戰史館,0.302
29,國立故宮博物院南部院區,"
Southern Branch of the National Palace Museum",嘉義縣,"
Chiayi County",嘉義縣太保市故宮大道888號,120.295743688775,23.469224372977,954296 ,建築 設計 文物 亞洲 警察 創意 小朋友 玻璃 展覽 日本,0.411
30,台北當代藝術館,"
Museum of Contemporary Art ,Taipei",臺北市,"
Taipei City",台北市大同區長安西路39號,121.518593323692,25.050624690309,216847 ,作品 藝術 展覽 阿信 創作 文化 音樂  參觀 設計 策展,0.391
31,朱銘美術館,"
Juming Museum",新北市,"
New Taipei City",新北市金山區西勢湖2號,121.612194000000,25.250128000000,60405 ,朱銘 作品 藝術 雕塑 太極 小孩 餐廳 寵物 創作 戶外,0.366
32,奇美博物館,"
Chimei Museum",臺南市,"
Tainan City",台南市仁德區文華路二段66號,120.226470418380,22.934472608815,663837 ,盔甲 日本 作品 英國 藝廊 特展 拍照 展覽 寶可夢 梵谷,0.419
33,北投溫泉博物館,"
Beitou Hot Spring Museum",臺北市,"
Taipei City",台北市北投區中山路2號,121.507125814216,25.136690514691,368584 ,溫泉 公園 麵 建築 圖書館 廢墟 車站 浴場 觀光 文化,0.397
34,林本源園邸(林家花園),The Lin Family Mansion and Garden,新北市,"
New Taipei City",新北市板橋區西門街9號,121.454455024309,25.011094694497,168527 ,林家 花園 建築 文化 園邸 遊戲 日本 活動 歷史 慈惠宮,0.367
35,三峽歷史文物館,"
Sansia Historical Relic Hall",新北市,"
New Taipei City",新北市三峽區中山路18號,121.369351801169,24.934527182455,56212 ,公園 日本 美食 廟 宮 重生 文物 活動 下雨 板根,0.472
36,凱達格蘭文化館,"
Ketagalan Culture Center",臺北市,"
Taipei City",台北市北投區中山路3-1號,121.505809101046,25.137115309544,294823 ,鐵道 免費 歷史 展示 活動 公視 優惠 台語 文物 火車,0.447
37,國立臺灣博物館,"
National Taiwan Museum",臺北市,"
Taipei City",台北市中正區襄陽路2號,121.515036402976,25.043285309823,905098 ,導演 演員 文化 劇場 演藝廳 編劇 藝術 溫泉 劇院 表演 ,0.443
38,臺南市美術館,"
Tainan Art Museum",臺南市,"
Tainan City",台南市中西區南門路37號1室,120.205034036285,22.991071996741,459705 ,活動 設計 歷史 警察署 棒球 中西 免費 球場 遊行 規劃,0.41
39,台南山上花園水道博物館,Tainan SHAN –SHANG Garden And Old Waterworks Museum,臺南市,"
Tainan City",台南市山上區山上里山上16號,120.3525619,23.1033902,264082 ,水道 花園 水池 唧筒 活動 寵物 左鎮 快濾筒 歷史 化石,0.375
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
